time_s,trip_id,drone_id,x,y,altitude_m,phase,connected,mode,reason
610.0,T003,U08,318605.666,2545605.312,511.973,cruise,1,direct,
610.0,T004,U06,320362.464,2546537.873,399.182,cruise,1,direct,
610.0,T006,U01,320402.536,2545981.482,435.637,cruise,1,direct,
610.0,T009,U02,317894.577,2546489.164,571.799,cruise,1,direct,
610.0,T010,U03,318246.373,2547526.817,372.909,cruise,1,direct,
610.0,T016,U04,319717.622,2547743.757,273.057,cruise,1,direct,
615.0,T001,U07,317641.713,2545539.975,366.098,cruise,1,direct,
615.0,T002,U05,319736.647,2545472.589,591.947,cruise,1,direct,
615.0,T003,U08,318541.654,2545644.396,511.973,cruise,1,direct,
615.0,T004,U06,320427.182,2546575.776,399.182,cruise,1,direct,
615.0,T006,U01,320460.774,2545995.915,435.637,cruise,1,direct,
615.0,T009,U02,317855.759,2546534.915,571.799,cruise,1,direct,
615.0,T010,U03,318233.304,2547585.376,372.909,cruise,1,direct,
615.0,T016,U04,319743.209,2547798.027,273.057,cruise,1,direct,
620.0,T001,U07,317566.722,2545538.814,366.098,cruise,1,direct,
620.0,T002,U05,319811.411,2545466.643,591.947,cruise,1,direct,
620.0,T003,U08,318477.643,2545683.48,511.973,cruise,1,direct,
620.0,T004,U06,320491.9,2546613.679,399.182,cruise,1,direct,
620.0,T006,U01,320519.013,2546010.348,435.637,cruise,1,direct,
620.0,T009,U02,317816.942,2546580.667,571.799,cruise,1,direct,
620.0,T010,U03,318220.234,2547643.935,372.909,cruise,1,direct,
620.0,T016,U04,319768.797,2547852.298,273.057,cruise,1,direct,
625.0,T001,U07,317491.731,2545537.654,366.098,cruise,1,direct,
625.0,T002,U05,319886.175,2545460.696,591.947,cruise,1,direct,
625.0,T003,U08,318413.631,2545722.564,511.973,cruise,1,direct,
625.0,T004,U06,320556.617,2546651.582,399.182,cruise,1,direct,
625.0,T006,U01,320577.251,2546024.78,435.637,cruise,1,direct,
625.0,T009,U02,317778.124,2546626.418,571.799,cruise,1,direct,
625.0,T010,U03,318207.164,2547702.494,372.909,cruise,1,direct,
625.0,T016,U04,319794.384,2547906.568,273.057,cruise,1,direct,
630.0,T001,U07,317416.74,2545536.493,366.098,cruise,1,direct,
630.0,T002,U05,319960.939,2545454.749,591.947,cruise,1,direct,
630.0,T003,U08,318349.62,2545761.647,511.973,cruise,1,direct,
630.0,T004,U06,320621.335,2546689.485,399.182,cruise,1,direct,
630.0,T006,U01,320635.489,2546039.213,435.637,cruise,1,direct,
630.0,T009,U02,317739.306,2546672.17,571.799,cruise,1,direct,
630.0,T010,U03,318194.095,2547761.054,372.909,cruise,1,direct,
630.0,T016,U04,319819.972,2547960.838,273.057,cruise,1,direct,
